Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
Dapp-Learning-DAO/Dapp-Learning,5182,1323,19,1180,2024-11-15,Solidity,200
succinctlabs/sp1,1006,325,48,1792,2024-11-17,Rust,69
yetanotherco/aligned_layer,146,342,185,1431,2024-11-16,Elixir,23
chainwayxyz/citrea,126,26,115,1458,2024-11-13,Rust,23
succinctlabs/sp1-reth,125,32,2,7,2024-10-17,Rust,6
taikoxyz/raiko,124,91,50,407,2024-11-12,Rust,31
succinctlabs/op-succinct,96,25,9,213,2024-11-12,Rust,8
agglayer/agglayer,74,18,42,397,2024-11-14,Rust,12
succinctlabs/sp1-project-template,72,31,1,41,2024-11-16,Rust,9
fluentlabs-xyz/fluentbase,59,31,7,45,2024-11-11,Rust,46
a16z/zkvm-benchmarks,57,15,1,3,2024-11-13,Rust,3
succinctlabs/rsp,56,19,9,62,2024-11-14,Rust,8
txtx/txtx,54,3,34,210,2024-11-15,Rust,4
deltadevsde/prism,50,8,32,157,2024-11-12,Rust,5
morph-l2/morph,34,20,14,639,2024-11-17,Solidity,22
cairoeth/sp1-eof,30,1,0,0,2024-11-06,Rust,1
yetanotherco/zkRust,30,11,7,55,2024-11-13,Rust,7
crema-labs/sxg-sp1,25,0,0,3,2024-11-16,Rust,3
succinctlabs/sp1-tendermint-example,25,12,0,28,2024-10-06,Rust,4
rkdud007/sp1-storage-proof,24,3,2,2,2024-09-26,Rust,1
alpenlabs/strata,24,1,13,477,2024-11-17,Rust,12
cosmos/sp1-ics07-tendermint,23,4,6,133,2024-11-14,Rust,5
succinctlabs/sp1-helios,19,5,1,13,2024-11-11,Rust,4
OneBlockPlus/polkadot-hackathon-2024,15,126,2,295,2024-10-28,Rust,116
HerodotusDev/hdp-sp1,14,1,1,22,2024-11-08,Rust,10
succinctlabs/sp1-vector,13,5,0,69,2024-11-10,Rust,6
danilowhk/swiftness-sp1,13,1,0,0,2024-10-16,Rust,2
puma314/verified-logs,12,2,0,1,2024-08-07,Rust,2
kinode-dao/kinode-book,12,9,40,260,2024-11-15,Rust,15
corddry/zk-nintendo,11,2,0,0,2024-06-17,TypeScript,1
succinctlabs/zkvm-perf,11,12,5,14,2024-11-14,Rust,5
succinctlabs/sp1-blobstream,11,3,1,24,2024-11-09,Rust,4
siddhantsharma301/aros,10,3,2,13,2024-04-26,Swift,4
yourbuddyconner/zkDB,10,0,1,1,2024-11-15,Rust,1
succinctlabs/sp1-contract-call,9,5,2,23,2024-10-28,Rust,3
allemanfredi/sp1-dkim,9,2,0,0,2024-11-05,Rust,1
succinctlabs/sp1-solana,8,3,1,12,2024-11-09,Rust,2
zobront/pv4d,8,0,0,0,2024-07-30,Solidity,1
stevedylandev/stevedsimkins-dev-astro,8,0,0,4,2024-11-05,MDX,1
S1nus/celestia-recursive-sync,7,1,1,2,2024-11-05,Rust,1
noble-assets/sp1-ics23-example,7,1,0,0,2024-07-08,Rust,1
nulltea/zkTripster,6,3,0,8,2024-05-29,Solidity,4
aerius-labs/sp1-ethereum-storage-proofs,6,1,0,2,2024-11-05,Rust,3
lucasmenendez/groth16-sp1-verifier,6,0,0,0,2024-10-03,Rust,1
vacp2p/nescience-zkvm-testing,6,2,2,2,2024-10-17,Rust,2
stackrlabs/succinct-residency-exps,6,1,6,80,2024-11-10,Rust,3
automata-network/tdx-attestation-sdk,5,1,2,2,2024-11-14,Rust,1
scroll-tech/poseidon-bn254,5,0,3,5,2024-10-31,Rust,2
lambdaclass/aggregation_aligned_layer,4,0,0,3,2024-06-28,Rust,1
allemanfredi/suffragium,4,1,1,5,2024-11-07,TypeScript,2
flyq/zkdemo,4,0,0,0,2024-01-24,Rust,1
S1nus/sp1-blob-inclusion,4,1,1,3,2024-10-09,Rust,1
geometers/blob-stream-inclusion,4,1,0,5,2024-09-21,Rust,5
riftresearch/protocol,3,1,0,3,2024-11-14,Solidity,2
invocarnau/succint-zk-residency,3,0,0,14,2024-10-23,Rust,3
paulgoleary/polygon-pos-light,3,1,0,4,2024-06-25,Rust,2
xavierdmello/proof-of-twitter-sp1,3,2,1,1,2024-09-08,TypeScript,1
NebraZKP/proof-aggregation-benchmarks,3,0,0,0,2024-09-16,Rust,1
brozorec/sp1-helios-prover,3,0,0,0,2024-05-15,Rust,1
0xAndoroid/zkGirlfriend,3,0,0,0,2024-08-19,Rust,3
Blockchain-Gods/block-nonce-minigame,3,0,0,1,2024-11-06,CSS,1
Marky-Shi/zk_notes,3,0,0,5,2024-11-11,,1
riftresearch/circuits,2,1,0,3,2024-11-09,Rust,3
zobront/zkdna,2,0,0,0,2024-06-20,Rust,1
proofcastlabs/bitcoinzk,2,0,6,12,2024-10-10,Rust,4
kroma-network/kroma-sp1-prover,2,0,0,13,2024-11-14,Rust,2
Hyle-org/examples,2,10,15,21,2024-09-27,Rust,4
sweatpotato13/sweatpotato13.github.io,2,1,0,46,2024-09-05,CSS,1
jpick713/black-scholes-prover,2,1,0,0,2024-02-22,Rust,1
cgst/zkml-inference-sp1,2,0,0,0,2024-09-30,Jupyter Notebook,1
Galxe/sp1-raffle,2,2,0,1,2024-10-20,Rust,1
wborgeaud/sp1-plonky2,2,0,1,1,2024-06-05,Rust,1
succinctlabs/example-sp1-wasm-verifier,2,0,1,4,2024-11-09,Rust,1
0xWOLAND/sp1-revm-kzg-profile,2,0,0,0,2024-06-24,Rust,1
OminiAccount/omni-account-zkp,2,0,0,0,2024-09-29,Rust,1
Sofianel5/onchain-appattest,2,0,2,4,2024-08-24,Solidity,2
essential-contributions/zk-benchmarks,1,0,0,0,2024-06-18,Solidity,1
argumentcomputer/zkvm-benchmarks,1,0,0,3,2024-11-14,Rust,2
dhruvmalik007/lambdahack_2,1,1,0,3,2024-07-09,Rust,4
Philogy/sp1-log0-summer,1,0,0,0,2024-10-02,Rust,1
rkdud007/sp1-merkle-tree,1,0,0,0,2024-05-13,Rust,1
ArielElb/zkSnark-FinalProject,1,0,0,43,2024-10-28,Rust,3
kinode-dao/chess-rollup,1,1,0,3,2024-03-26,TypeScript,2
Layer-N/eigenda-kzg,1,0,0,0,2024-09-13,Rust,1
lita-xyz/benchmarks,1,2,2,6,2024-11-06,C,2
